postcode_present,label,transactions,share_of_all_transactions_pct,matched,unmatched,unmatched_pct,unmatched_ci_low_pct,unmatched_ci_high_pct,risk_ratio_vs_rest,risk_ratio_ci_low,risk_ratio_ci_high
Postcode absent,Postcode absent,262,0.26,1,261,99.62,97.87,99.93,17.41,16.96,17.87
Postcode present,Postcode present,99824,99.74,94111,5713,5.72,5.58,5.87,0.06,0.06,0.06
