old_new,label,transactions,share_of_all_transactions_pct,matched,unmatched,unmatched_pct,unmatched_ci_low_pct,unmatched_ci_high_pct,risk_ratio_vs_rest,risk_ratio_ci_low,risk_ratio_ci_high
Y,New build,7960,7.95,7427,533,6.7,6.17,7.27,1.13,1.04,1.24
N,Established,92126,92.05,86685,5441,5.91,5.76,6.06,0.88,0.81,0.96
